Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -217.3989781905244, time: 10.839
steps: 49975, episodes: 2000, mean episode reward: -455.47437840853166, time: 20.425
steps: 74975, episodes: 3000, mean episode reward: -151.8445642552829, time: 19.662
steps: 99975, episodes: 4000, mean episode reward: -115.16461839593683, time: 21.067
steps: 124975, episodes: 5000, mean episode reward: -102.49242014260942, time: 20.287
steps: 149975, episodes: 6000, mean episode reward: -97.3823338200959, time: 19.889
steps: 174975, episodes: 7000, mean episode reward: -95.05786659040056, time: 20.245
steps: 199975, episodes: 8000, mean episode reward: -93.8729706169606, time: 19.949
steps: 224975, episodes: 9000, mean episode reward: -98.92723391121312, time: 20.063
steps: 249975, episodes: 10000, mean episode reward: -97.43743632564755, time: 20.218
steps: 274975, episodes: 11000, mean episode reward: -93.79388623349374, time: 20.329
steps: 299975, episodes: 12000, mean episode reward: -96.96637534400116, time: 20.465
steps: 324975, episodes: 13000, mean episode reward: -93.722389511733, time: 20.707
steps: 349975, episodes: 14000, mean episode reward: -87.82191540462495, time: 20.441
steps: 374975, episodes: 15000, mean episode reward: -84.34106243908667, time: 21.355
steps: 399975, episodes: 16000, mean episode reward: -83.64567607233616, time: 20.459
steps: 424975, episodes: 17000, mean episode reward: -80.06290367946782, time: 20.199
steps: 449975, episodes: 18000, mean episode reward: -79.62486033998964, time: 21.364
steps: 474975, episodes: 19000, mean episode reward: -75.63893978754271, time: 21.121
steps: 499975, episodes: 20000, mean episode reward: -73.58475489138384, time: 20.719
steps: 524975, episodes: 21000, mean episode reward: -72.65437694517028, time: 20.3
steps: 549975, episodes: 22000, mean episode reward: -70.68968417745899, time: 20.454
steps: 574975, episodes: 23000, mean episode reward: -70.17237302781733, time: 19.971
steps: 599975, episodes: 24000, mean episode reward: -75.31625589220033, time: 20.67
steps: 624975, episodes: 25000, mean episode reward: -74.25630685908567, time: 20.559
steps: 649975, episodes: 26000, mean episode reward: -75.51129412201563, time: 20.528
steps: 674975, episodes: 27000, mean episode reward: -78.02845342700046, time: 20.022
steps: 699975, episodes: 28000, mean episode reward: -78.54265434122351, time: 20.984
steps: 724975, episodes: 29000, mean episode reward: -79.09897394076427, time: 20.578
steps: 749975, episodes: 30000, mean episode reward: -80.14214609123547, time: 20.184
steps: 774975, episodes: 31000, mean episode reward: -80.62966519919998, time: 20.347
steps: 799975, episodes: 32000, mean episode reward: -81.52530912317629, time: 21.055
steps: 824975, episodes: 33000, mean episode reward: -83.26322896087638, time: 20.698
steps: 849975, episodes: 34000, mean episode reward: -81.47201694739537, time: 20.466
steps: 874975, episodes: 35000, mean episode reward: -81.77058156430785, time: 20.451
steps: 899975, episodes: 36000, mean episode reward: -80.48925983580132, time: 20.576
steps: 924975, episodes: 37000, mean episode reward: -82.66677301254921, time: 21.027
steps: 949975, episodes: 38000, mean episode reward: -83.37468646023883, time: 21.329
steps: 974975, episodes: 39000, mean episode reward: -83.54914794952303, time: 20.816
steps: 999975, episodes: 40000, mean episode reward: -80.93691350585763, time: 20.72
steps: 1024975, episodes: 41000, mean episode reward: -83.30726806123477, time: 20.451
steps: 1049975, episodes: 42000, mean episode reward: -81.43132702350846, time: 20.372
steps: 1074975, episodes: 43000, mean episode reward: -79.53097655735759, time: 20.825
steps: 1099975, episodes: 44000, mean episode reward: -74.32114501508772, time: 20.59
steps: 1124975, episodes: 45000, mean episode reward: -75.4132503360559, time: 21.918
steps: 1149975, episodes: 46000, mean episode reward: -76.44828927830964, time: 20.594
steps: 1174975, episodes: 47000, mean episode reward: -74.75336043756988, time: 20.488
steps: 1199975, episodes: 48000, mean episode reward: -74.90121636143388, time: 20.305
steps: 1224975, episodes: 49000, mean episode reward: -74.41165109875827, time: 21.996
steps: 1249975, episodes: 50000, mean episode reward: -75.21458741496495, time: 20.661
steps: 1274975, episodes: 51000, mean episode reward: -75.13878440729498, time: 21.02
steps: 1299975, episodes: 52000, mean episode reward: -73.11748275240203, time: 20.022
steps: 1324975, episodes: 53000, mean episode reward: -75.87423233979955, time: 20.279
steps: 1349975, episodes: 54000, mean episode reward: -74.34173349110895, time: 20.545
steps: 1374975, episodes: 55000, mean episode reward: -74.61476581394314, time: 20.64
steps: 1399975, episodes: 56000, mean episode reward: -77.45181835619142, time: 20.636
steps: 1424975, episodes: 57000, mean episode reward: -73.65822541464608, time: 20.664
steps: 1449975, episodes: 58000, mean episode reward: -76.60275982058332, time: 20.604
steps: 1474975, episodes: 59000, mean episode reward: -77.61629040348377, time: 20.428
steps: 1499975, episodes: 60000, mean episode reward: -72.23796567188694, time: 20.758
steps: 1524975, episodes: 61000, mean episode reward: -72.25609091538284, time: 21.573
steps: 1549975, episodes: 62000, mean episode reward: -72.06852262299365, time: 20.64
steps: 1574975, episodes: 63000, mean episode reward: -71.433051592308, time: 21.193
steps: 1599975, episodes: 64000, mean episode reward: -74.03563920119588, time: 20.469
steps: 1624975, episodes: 65000, mean episode reward: -71.68396309511624, time: 20.65
steps: 1649975, episodes: 66000, mean episode reward: -73.96059040015825, time: 20.665
steps: 1674975, episodes: 67000, mean episode reward: -73.38262929247055, time: 20.542
steps: 1699975, episodes: 68000, mean episode reward: -76.32168400119082, time: 21.045
steps: 1724975, episodes: 69000, mean episode reward: -76.7919091765334, time: 21.234
steps: 1749975, episodes: 70000, mean episode reward: -77.40984673492454, time: 21.53
steps: 1774975, episodes: 71000, mean episode reward: -71.94393539353611, time: 21.001
steps: 1799975, episodes: 72000, mean episode reward: -75.97104769620643, time: 20.689
steps: 1824975, episodes: 73000, mean episode reward: -76.02741615579131, time: 19.958
steps: 1849975, episodes: 74000, mean episode reward: -76.71939238328544, time: 20.466
steps: 1874975, episodes: 75000, mean episode reward: -77.6410905832102, time: 21.132
steps: 1899975, episodes: 76000, mean episode reward: -72.83284717439008, time: 20.867
steps: 1924975, episodes: 77000, mean episode reward: -73.7132460982534, time: 21.551
steps: 1949975, episodes: 78000, mean episode reward: -73.31962848720474, time: 20.391
steps: 1974975, episodes: 79000, mean episode reward: -72.53377672852174, time: 20.781
steps: 1999975, episodes: 80000, mean episode reward: -74.68536168576462, time: 20.694
steps: 2024975, episodes: 81000, mean episode reward: -73.23098573496156, time: 21.316
steps: 2049975, episodes: 82000, mean episode reward: -71.22585433229351, time: 21.146
steps: 2074975, episodes: 83000, mean episode reward: -71.77116096365955, time: 20.964
steps: 2099975, episodes: 84000, mean episode reward: -71.71511446086579, time: 20.236
steps: 2124975, episodes: 85000, mean episode reward: -69.66530350376821, time: 20.659
steps: 2149975, episodes: 86000, mean episode reward: -66.79531349050276, time: 20.471
steps: 2174975, episodes: 87000, mean episode reward: -67.37417467287122, time: 20.887
steps: 2199975, episodes: 88000, mean episode reward: -67.4455527940624, time: 20.684
steps: 2224975, episodes: 89000, mean episode reward: -67.45043070082271, time: 20.831
steps: 2249975, episodes: 90000, mean episode reward: -66.43257529102246, time: 20.682
steps: 2274975, episodes: 91000, mean episode reward: -68.43813217438944, time: 20.351
steps: 2299975, episodes: 92000, mean episode reward: -67.14543453509846, time: 21.33
steps: 2324975, episodes: 93000, mean episode reward: -69.07923550246682, time: 20.676
steps: 2349975, episodes: 94000, mean episode reward: -68.32425505496455, time: 20.325
steps: 2374975, episodes: 95000, mean episode reward: -66.25773979507169, time: 20.803
steps: 2399975, episodes: 96000, mean episode reward: -69.30995500439013, time: 20.188
steps: 2424975, episodes: 97000, mean episode reward: -65.69416059377953, time: 20.156
steps: 2449975, episodes: 98000, mean episode reward: -65.85149870161662, time: 20.6
steps: 2474975, episodes: 99000, mean episode reward: -65.51807693456814, time: 21.096
steps: 2499975, episodes: 100000, mean episode reward: -64.57025164397383, time: 20.982
...Finished total of 100001 episodes.
